Source,Merged
Microsoft,"Ref39_2 - In fiscal year 2021, the COVID-19 pandemic continued to impact our business operations and financial results. Cloud usage and demand benefited as customers accelerate their digital transformation priorities. Our consumer businesses also benefited from the remote environment, with continued demand for PCs and productivity tools, as well as strong engagement across our Gaming platform. We saw improvement in customer advertising spend and savings in operating expenses related to COVID-19, but experienced weakness in transactional licensing. The COVID-19 pandemic may continue to impact our business operations and financial operating results, and there is uncertainty in the nature and degree of its continued effects over time. Refer to Risk Factors (Part I, Item 1A of this Form 10-K) for a discussion of these factors and other risks."
Microsoft,"Ref42_1 - Operating expenses increased $2.0 billion or 4% driven by investments in cloud engineering and commercial sales, offset in part by savings related to COVID-19 across each of our segments, prior year charges associated with the closing of our Microsoft Store physical locations, and a reduction in bad debt expense."
Microsoft,Ref5_1 - COVID-19
Microsoft,"Ref5_2 - In March 2020, the World Health Organization declared the outbreak of COVID-19 to be a pandemic. The COVID-19 pandemic continues to have widespread and unpredictable impacts on global society, economies, financial markets, and business practices, and continues to impact our business operations, including our employees, customers, partners, and communities. Refer to Management’s Discussion and Analysis of Financial Condition and Results of Operations (Part II, Item 7 of this Form 10-K) for further discussion regarding the impact of COVID-19 on our fiscal year 2021 financial results. The extent to which the COVID-19 pandemic impacts our business going forward will depend on numerous evolving factors we cannot reliably predict. Refer to Risk Factors (Part I, Item 1A of this Form 10-K) for a discussion of these factors and other risks."
Microsoft,"Ref51_1 - Our consolidated financial statements and accompanying notes are prepared in accordance with GAAP. Preparing consolidated financial statements requires management to make estimates and assumptions that affect the reported amounts of assets, liabilities, revenue, and expenses. These estimates and assumptions are affected by management’s application of accounting policies, as well as uncertainty in the current economic environment due to COVID-19. Critical accounting policies for us include revenue recognition, impairment of investment securities, goodwill, research and development costs, contingencies, income taxes, and inventories."
Microsoft,"Ref6_1 - With a continued focus on digital transformation, Microsoft is helping to ensure that no one is left behind, particularly as economies recover from the COVID-19 pandemic. We announced in June 2020 that we are expanding access to the digital skills that have become increasingly vital to many of the world’s jobs, and especially to individuals hardest hit by recent job losses. Our skills initiative brings together learning resources, certification opportunities, and job-seeker tools from LinkedIn, GitHub, and Microsoft Learn, and is built on data insights drawn from LinkedIn’s Economic Graph. We also invested $20 million in key non-profit partnerships through Microsoft Philanthropies to help people from underserved communities that are often excluded by the digital economy."
Microsoft,"Ref61_1 - Preparing financial statements requires management to make estimates and assumptions that affect the reported amounts of assets, liabilities, revenue, and expenses. Examples of estimates and assumptions include: for revenue recognition, determining the nature and timing of satisfaction of performance obligations, and determining the standalone selling price (“SSP”) of performance obligations, variable consideration, and other obligations such as product returns and refunds; loss contingencies; product warranties; the fair value of and/or potential impairment of goodwill and intangible assets for our reporting units; product life cycles; useful lives of our tangible and intangible assets; allowances for doubtful accounts; the market value of, and demand for, our inventory; stock-based compensation forfeiture rates; when technological feasibility is achieved for our products; the potential outcome of uncertain tax positions that have been recognized in our consolidated financial statements or tax returns; and determining the timing and amount of impairments for investments. Actual results and outcomes may differ from management’s estimates and assumptions due to risks and uncertainties, including uncertainty in the current economic environment due to COVID-19."
Microsoft,"Ref7_1 - Our employee listening systems enable us to gather feedback directly from our workforce to inform our programs and employee needs globally. 88% of employees globally participated in our fiscal year 2021 MS Poll engagement survey, which covers a variety of topics such as inclusion, pay and benefits, and learning and development. Throughout the fiscal year, we also collect nearly 75,000 Daily Pulse employee survey responses. During fiscal year 2021, our Daily Pulse surveys gave us invaluable insights into ways we could support employees through the COVID-19 pandemic and addressing racial injustice. In addition to poll and pulse surveys, we gain insights through onboarding and exit surveys, internal Yammer channels, employee Q&A sessions, and AskHR Service support."
Microsoft,"Ref8_1 - We took a wide variety of measures to protect the health and well-being of our employees, suppliers, and customers during the COVID-19 pandemic. We made substantial modifications to employee travel policies and implemented office closures so non-essential employees could work remotely. We continued to pay hourly service providers such as cleaning and reception staff who may have otherwise been furloughed. We implemented a global Paid Pandemic School and Childcare Closure Leave to support working parents, added wellbeing days for those who needed to take time off for mental health and wellness, implemented on-demand COVID-19 testing and vaccinations on our Redmond, Washington campus, and extended full medical plan coverage for coronavirus testing, treatment, and telehealth services. We also expanded existing programs such as our Microsoft CARES Employee Assistance Program and family backup care."
Microsoft,"Ref8_2 - In addition to the extraordinary steps and programs relating to COVID-19, our comprehensive benefits package includes many physical, emotional, and financial wellness programs including counseling through the Microsoft CARES Employee Assistance Program, flexible fitness benefits, savings and investment tools, adoption assistance, and back-up care for children and elders. Finally, our Occupational Health and Safety program helps ensure employees can stay safe while they are working."
Microsoft,"Ref9_1 - The global pandemic has accelerated our capabilities and culture with respect to flexible work. Microsoft has introduced a Hybrid Workplace Flexibility Guide to better support managers and employees as they adapt to new ways of working that shift paradigms, embrace flexibility, promote inclusion, and drive innovation. Our ongoing survey data shows employees value the flexibility related to work location, work site, and work hours, and while many indicate they intend to return to a worksite once conditions permit, they also intend to adjust hours or spend some portions of workweeks working remotely. We are focused on building capabilities to support a variety of workstyles where individuals, teams, and our business can be successful."
Oracle,"Ref15_1 - Business Resiliency: The Company has successfully implemented disaster recovery initiatives for critical infrastructure services. This has been adequately tested during this pandemic crisis, minor deficiencies were mitigated and the plan has been made more efficient and effective."
Oracle,Ref158_1 - Note 25: Estimation of uncertainties relating to the global health pandemic from COVID-19
Oracle,"Ref158_2 - TheCompanyhasconsideredthepossibleeffectsthatmayresultfromthepandemicrelatingtoCOVID-19onthecarryingvalueof tradereceivables,unbilledreceivables,contractassetsandinvestmentinsubsidiaries.Thesearenotsignificanttothestandalone financialstatementsfortheyearendedMarch31,2021.Inassessingtherecoverabilityoftheseassets,theCompanyhasused internalandexternalsourcesofinformationuptothedateofapprovalofthesestandalonefinancialstatements,andbasedon currentestimates,expectsthenetcarryingamountoftheseassetswillberecovered.TheimpactonaccountofCOVID-19onthe Company’sfinancialstatementsmaydifferfromthatestimatedasatthedateofapprovalofthesestandalonefinancialstatements. The Company will continue to monitor any material impact due to changes in future economic conditions."
Oracle,Ref16_1 - Response to COVID-19
Oracle,"Ref16_2 - COVID-19 has its impact on the people and the global economy. Unprecedented lockdowns disrupted global trade. The impact of the same being felt even in the current scenario. Since March 2020, the Company has switched to 100% work from home model and has undertaken various initiatives for Employee Wellbeing which includes extended insurance coverage, 24/7 helpline to help with anxiety and uncertainty, on-line training / guidance on ergonomics, etc."
Oracle,"Ref17_1 - During the year 2020-21, the Company directed its entire Corporate Social Responsibility efforts on providing pandemic-related relief to the community, with a focus especially on vulnerable populations: women, children, and migrant workers. In addition, the Company also made a contribution of ₹ 125 million to the Prime Minister's Citizen Assistance and Relief in Emergency Situations Fund (PM CARES Fund), a public charitable trust that provides relief and assistance to address public health emergencies or any other kind of emergency, calamity, or distress by rendering financial assistance and grants to affected populations."
Oracle,"Ref17_2 - The Directors place on record their appreciation for the excellent contributions made by the employees of the Company through their commitment, co-operation and diligence. The Directors gratefully acknowledge the continued support received by the Company from its stakeholders, customers, members, vendors, bankers and regulatory authorities during the year. The Directors also wish to thank the Government of India and the State Governments in the jurisdictions it operates and their various agencies, and departments. The Directors appreciate and value the contribution made by every member of the Oracle family. The Directors are deeply grateful and have immense respect for every person who risked their life and safety to fight this prevailing pandemic."
Oracle,"Ref186_1 - b. In view of the continuing COVID-19 pandemic, the Ministry of Corporate Affairs (“MCA”) has vide its circular dated January 13, 2021, read with circulars dated April 8, 2020, April 13, 2020 and May 5, 2020 (collectively referred to as “MCA Circulars”)permittedtheholdingoftheAnnualGeneralMeeting(“AGM”)throughVC/OAVM,withoutthephysicalpresence oftheMembersatacommonvenue.IncompliancewiththeprovisionsoftheAct,SecuritiesandExchangeBoardofIndia (ListingObligationsandDisclosureRequirements)Regulations,2015(“ListingRegulations”)andMCACirculars,theAGMof theCompanyisbeingheldthroughVC/OAVM.ThedeemedvenueoftheAGMshallbetheregisteredofficeoftheCompany atOraclePark,OffWesternExpressHighway,Goregaon(East),Mumbai–400063."
Oracle,Ref21_1 - 7. I have carried out the verification of the records through digital mode as well as relied upon the Management representation made by the Company due to prevailing conditions of COVID-19 in the country.
Oracle,"Ref22_1 -  The Company’s CSR policy aims to advance education, protect the environment and strengthen communities. Such initiatives help to create inclusive growth and equitable development. The Company awards grants to non-profit and non-governmental organizations and other implementation partners to carry out its CSR initiatives. The Company also contributed to PM CARES fund to support fight against COVID-19 pandemic. During the financial year 2020-21, the Company directed its efforts on providing pandemic-related relief to the community, with a focus especially on vulnerable populations: women, children and migrant workers."
Oracle,Ref24_1 - COVID-19 hospitals.
Oracle,Ref24_2 - during the COVID-19 crisis.
Oracle,Ref25_1 - by COVID-19 with dry ration
Oracle,"Ref26_1 - In view of the COVID-19 pandemic and lockdown conditions, the meetings of the Board of Directors and its Committees were held through video / audio-conferencing facility."
Oracle,Ref39_1 - I have carried out the verification of part of the records through digital mode as well as relied upon the Management representation made by the Company due to prevailing conditions of COVID-19 in the country.
Oracle,"Ref41_1 - Financial Institutions today face many challenges in their quest to offer innovative products and services to their customers. The pandemic has accelerated the response to digital transformation and put a sharp focus on transforming business models, creating greater institutional resilience and meet customer demand for a better digital engagement on a continued basis."
Oracle,Ref50_1 - - Launching new products and enhancing existing services and solutions that help banks respond to challenges posed by the pandemic
Oracle,Ref50_2 - - Uncertainties caused by COVID-19 pandemic
Oracle,Ref51_1 - Global outbreak of COVID-19 Pandemic has in general impacted socio-economic lives of people. The Company has undertaken various initiatives for Employee Wellbeing.
Oracle,"Ref52_1 - Disruption to business activities due to pandemic During lock-down situations or restrictions due to a pandemic or calamity, the Company’s routine business operations may be adversely affected."
Oracle,Ref92_1 - Note 26: Estimation of uncertainties relating to the global health pandemic from COVID-19
Oracle,"Ref92_2 - TheOFSSgrouphasconsideredthepossibleeffectsthatmayresultfromthepandemicrelatingtoCOVID-19onthecarryingvalue ofTradereceivables,Unbilledreceivables,ContractassetsandGoodwill.ThesearenotsignificanttotheConsolidatedfinancial statementsfortheyearendedMarch31,2021.Inassessingtherecoverabilityoftheseassets,theOFSSgrouphasusedinternal andexternalsourcesofinformationuptothedateofapprovaloftheseConsolidatedfinancialstatements,andbasedoncurrent estimates,expectsthenetcarryingamountoftheseassetswillberecovered.TheimpactonaccountofCOVID-19ontheOFSS group’sfinancialstatementsmaydifferfromthatestimatedasatthedateofapprovaloftheseconsolidatedfinancialstatements. The OFSS group will continue to monitor any material impact due to changes in future economic conditions."
